Name,Teff(K),L (Sun),4859/4861,6560/6563,Center mass = 0.66~0.68,Ref,https://arxiv.org/pdf/astro-ph/0502101.pdf
NGC 6741,170000,562.3413252,0.01993,0.02010749,Center mass = 1.25,Ref,https://doi.org/10.1093/pasj/psad069 
H4-1,127452,192,0.00505,0.004954204,,Ref,https://articles.adsabs.harvard.edu/full/1995A%26A...304..531M
Hu 2 -1,32500,11500,-1,-1,,Ref,https://iopscience.iop.org/article/10.1086/341340/pdf
Hen2-447,107398.9412,592.9253246,-1,-1,,Ref,https://www.aanda.org/articles/aa/pdf/2010/09/aa14009-10.pdf
NGC 6886,152000,680,0.0209,0.022149768,,Ref,https://iopscience.iop.org/article/10.1086/341340/pdf
NGC 6881,98401.11058,369.2,-1,0.024247133,,Ref,https://iopscience.iop.org/article/10.1086/341340/pdf
NGC 6884,79799.46873,1874.994508,0.0116,0.009448494,,Ref,https://www.aanda.org/articles/aa/pdf/2010/09/aa14009-10.pdf
NGC 2392,80000,26000,-1,-1,,Ref,https://arxiv.org/pdf/1911.01390
J 900,129640,5562,-1,0.020541455,,Ref,https://iopscience.iop.org/article/10.1086/341340/pdf
M 1 - 8,160694.1253,130.3166778,-1,-1,,Ref,https://iopscience.iop.org/article/10.1086/341340/pdf
NGC 2346,57543.99373,6839.116473,-1,-1,,Ref,https://www.aanda.org/articles/aa/pdf/2010/09/aa14009-10.pdf
NGC 3242,80000,740,0.0245,0.023784722,,,
